id,name,country,status,formed_in,active
17247,Anautopsy,United States,Changed name,2006,2006-2009| 2009-present (as Ultrageist)
17248,Anaëmia,Spain,Split-up,1999,1999-?
17249,Ancak,Malaysia,Unknown,2001,2001-?
17250,Ancestral Terror,Brazil,On hold,2005,2005-?
17251,Ancestros,Colombia,Active,1995,1995-present
17252,Anchor,Finland,Split-up,1995,1995-?
17253,Ancient Horde,Portugal,Active,2010,2010-present
17254,Ancient Horns,Philippines,Active,2003,2003-present
17255,Ancient Obliteration,Canada,On hold,2006,2006-2014
17256,Ancient Prophecy,United States,Changed name,N/A,?-2010| 2010-present (as Wretched Humanity)
17257,Ancient Slumber,United States,Split-up,2009,2009-2011
17258,Ancient Wind,United States,Split-up,2011,2011-2015
17259,Ancienterror,Chile,Active,2002,2002-present
17260,Ancillae,Brazil,Active,2004,2004-present
17261,And All Shall Bow,United States,Active,N/A,N/A
17262,And Seven Escape,United Kingdom,Split-up,2003,2003-?
17263,Andabata,Germany,Active,1997,1997-2012| 2013-present
17264,Andromalius,Russia,Active,2003,1996-1997 (as Obscene)| 1997-1998 (as Evil Night)| 1998-1999 (as Mr.Evil)| 2000-? (as Mr.Evil)| 2003-present
17265,Androphagous,Germany,Active,N/A,N/A
17266,Anemosity,United States,Split-up,1999,1999-?
17267,Anestezja,Poland,Active,2006,2006-present
17268,Anesthesy,Belgium,Split-up,1988,1985-1988 (as Vendetta)| 1988-?
17269,Anesthetized,United States,Active,2009,2009-present
17270,Anetheron,Mexico,Active,2014,2014-present
17271,Aneurysm,Italy,Active,2012,2012-present
17272,Angel Dissection,United States,Active,2003,2003 (as Dingir)| 2003-present
17273,Angel Flesh,United States,Active,2001,2001-2005| 2015-present
17274,Angel Grinder,Canada,Changed name,2001,2001-?| ?-present (as Sound of the Swarm)
17275,Angel Hammer,New Zealand,Active,2002,2002-present
17276,Angel's Sperm,France,Active,2003,2003-present
17277,Angelcrypt,Malta,Active,1997,? (as Rattlesnake)| 1997-present
17278,Angelcunt,Austria,Active,2004,2004-present
17279,Angelfuck,United Kingdom,Active,1997,1997-present
17280,Angelholocaust,Thailand,Unknown,2010,2010 (as Eternal Goat)| 2010-?
17281,Angelkill,United States,Active,1988,1988-present
17282,Angelrust,United States,Split-up,1999,1999-?
17283,Angels of Armageddon,Poland,On hold,2000,1999-2000 (as Armageddon)| 2000-present
17284,Angerstrike,United States,Split-up,2001,2001-2009
17285,Angioma,Chile,Active,2007,? (as Ciclos)| 2007-present
17286,Angkor,Argentina,Unknown,1992,1992-?
17287,Angmar,United States,Active,2009,2009-present
17288,Angrboda,United States,Active,N/A,N/A
17289,Angry Nation,Austria,Active,2014,2014-present
17290,Angstorm,Canada,Split-up,2004,2004-?
17291,Anguish,Romania,Split-up,1996,? (as Nightfall)| 1996-?
17292,Anhaguama,Brazil,Active,2007,2007-present
17293,Anhedonia,United States,Split-up,2003,2003-?
17294,Anhedonist,United States,Split-up,2008,2008-2014
17295,Anhedony,Poland,Active,2007,2002-2007 (as Khronos)| 2007-present
17296,Anhel,Colombia,Active,2007,2007-present
17297,Anient,Australia,Active,2005,2005-present
17298,Animal Foreskin,Finland,Split-up,2000,2000-2006
17299,Animal Hate,Czech Republic,Active,1998,1998-present
17300,Animated Dead,United States,Active,1990,1990-present
17301,Animated Violence,United States,Split-up,N/A,N/A
17302,Animistic,Australia,Active,2010,2010-present
17303,Animos,Germany,Split-up,N/A,N/A
17304,Animos Nocti,Mexico,Unknown,N/A,2002-?
17305,Animosity,Netherlands,Split-up,1993,1993-2001
17306,Animus Atra,Brazil,Active,2005,2005-2008| 2014-present
17307,Animus Barathrum,Costa Rica,Split-up,2001,2001-2008
17308,Annihilation,Australia,Active,2003,2003-? (as Creepy Crawl)| ?-present
17309,Annihilation,Sweden,Split-up,2001,1999-2000 (as Redrum)| 2001-2003
17310,Annihilation,United States,Split-up,1985,1985-?
17311,Annowy,Germany,Split-up,N/A,N/A
17312,Annoy,Germany,Split-up,N/A,N/A
17313,Anociticus,United States,Split-up,2008,2008-2011
17314,Anointing,Brazil,Split-up,1993,1993-2001
17315,Anomanes,United States,Split-up,1995,1995-1996
17316,Anonima Disastri,Italy,Changed name,1997,1997-2001| 2001-present (as Deforge)
17317,Anonima Sequestri,Italy,Active,2000,2000-present
17318,Anonymous Hate,Brazil,Split-up,2007,2007-2013
17319,Anonymous Terror,Germany,Split-up,N/A,N/A
17320,Anorexic Cannibals,Canada,Active,2001,2001-present
17321,Another Hell,Sweden,Active,2003,2003-present
17322,Another Tomorrow,Australia,Active,N/A,N/A
17323,Another Victory,Germany,Split-up,2006,2001-2006 (as Monkey Wrench)| 2006-2011
17324,Anoxia,United Kingdom,Split-up,2006,2006-2009
17325,Anoxia,United States,Split-up,1995,1995-2006
17326,Anphora,Chile,Split-up,1994,1994-1998
17327,Anschluss,Brazil,Active,1985,1985-present
17328,Antagon,Colombia,Active,1992,1992-?| 2013-present
17329,Antagonist,Germany,Active,1990,1990-present
17330,Antagonist Zero,Finland,Active,2010,2010-present
17331,Antaios,Norway,Active,1997,1997-present
17332,Antares,Germany,Split-up,N/A,N/A
17333,Antebellum666,United States,Active,2007,2007-? (as Antebellum)| ?-present
17334,Antediluvian,Canada,Active,2006,2006-present
17335,Anthagora,Austria,Split-up,2007,?-2007 (as Scabies)| 2007-?
17336,Anthea,France,Active,1999,1999-present
17337,Anthem,Brazil,Split-up,1989,1989-?
17338,Anthem 37,Italy,Split-up,2006,2006-?
17339,Anthropomancy,United Kingdom,Split-up,1989,1989-?
17340,Anthropophagic Gastralgia,United Kingdom,Active,2005,2005-present
17341,Anthropophagy,United States,Split-up,N/A,N/A
17342,Anthropos,Belgium,Split-up,2005,2005-?
17343,Anti Human,Colombia,Active,2009,2009-present
17344,Antibiotica666,Netherlands,Active,2005,2005-present
17345,Antichrist,Canada,Active,1990,1990-1994| 2015-present
17346,Antichrist,Peru,Active,2004,2012-present
17347,Anticipate,Poland,Active,1994,1994-present
17348,Antidemon,Brazil,Active,1994,1994-present
17349,Antigama,Poland,Active,2000,2000-present
17350,Antigod,Czech Republic,Active,2011,2011-present
17351,Antihuman,Germany,Split-up,N/A,1997-? (as Overfiend)| ?-?
17352,Antilord,Germany,Split-up,N/A,N/A
17353,Antipop,Indonesia,Active,2001,2001-present
17354,Antiquus Infestus,Italy,Active,2011,2011-present
17355,Antisilence,Turkey,Split-up,1992,1992-?
17356,Antisocial,Slovakia,Split-up,1990,1990-?
17357,Antithesis,Poland,Active,2003,2001-2003 (as Lacrima Dei)| 2003-present
17358,Antiverse,United States,Active,2013,2013-present
17359,Antiversum,Switzerland,Active,2010,2010-present
17360,Antro,Costa Rica,Active,1999,1999-present
17361,Antropofectus,Brazil,Active,2007,2007-present
17362,Antártica,Argentina,Active,2010,2010-present
17363,Antítese,Brazil,Split-up,1986,1986-?
17364,Anubis,United Kingdom,Changed name,2003,2003-?| ?-2007 (as Amenophiis)
17365,Anus Coitus,Indonesia,Split-up,N/A,N/A
17366,Anus de Satanus,Philippines,Unknown,2005,2005-2008| 2005-?
17367,Anus Magulo,Poland,Active,2007,2007-present
17368,Anus Praeter,Germany,Changed name,1993,1993-1995| 1995-present (as Atanatos)
17369,Anus Tumor,Germany,Active,2000,2000-present
17370,Anwyl,United States,Split-up,1997,1997 (as Xaphan)| 1997-?
17371,Anxiety,Finland,Split-up,1991,1991-?
17372,Anxiety,United States,Active,N/A,N/A
17373,Apa Simbetii,Romania,Active,2008,2008-2009 (as Smoke and Ash)| 2009 (as Unmade)| 2009-present
17374,Aparagonis,Malaysia,Unknown,2003,2003-?
17375,Apathetic,Turkey,Active,2005,2005-present
17376,Apathy,Sweden,Changed name,1992,1992 (as Darkfalz)| 1992-1993| 1993-present (as Engraved)
17377,Apathy,United States,On hold,1996,?-1996 (as Demonic Harmony)| 1998-2010
17378,Ape to God,Poland,Active,2011,2011-present
17379,Apeiron,Ukraine,Split-up,1994,1994-1998
17380,Apex Null,Australia,Active,2003,2003-present
17381,Aphasia,Canada,Split-up,1995,1995-?
17382,Aphelion,United States,Split-up,2006,2006-2007
17383,Aphelon,New Zealand,Split-up,2000,1999-2000 (as Eldar V.T.B.)| 2000-?
17384,Apherial,United States,Split-up,2005,2005-?
17385,Aphorism,Brazil,Active,N/A,N/A
17386,Aphotic,United States,Split-up,2000,2000-2005
17387,Aphses,Mexico,Active,1993,1993-present
17388,Apocalipsa,Czech Republic,Split-up,1991,1991-?
17389,Apocalypse Command,United States,Split-up,2006,2006-2011
17390,Apocalyptic Salvation,Italy,Active,2007,2007-present
17391,Apocalypze,Germany,Active,2007,2007-present
17392,Apocryph,United States,Active,2001,2001-present
17393,Apocryphal,Belarus,Active,1994,1994-present
17394,Apocryphon,United States,Split-up,2010,2010-2015
17395,Apofenia,Argentina,Active,2016,2016-present
17396,Apokatastase,Brazil,Active,2010,2010-present
17397,Apokatastasis,Poland,Split-up,2002,2002-?
17398,Apokefale,Russia,Active,2002,2002-present
17399,Apokrifos,Mexico,Active,1995,1995-present
17400,Apokryphos,Russia,Unknown,1997,1997-?
17401,Apolhocaust,International,Active,2009,2009-present
17402,Apollgon,Sweden,Split-up,1992,1992-?
17403,Apollyon,Denmark,Split-up,1992,1992-?
17404,Apollyon,Portugal,On hold,1993,1993-present
17405,Apollyon,United Kingdom,On hold,2006,2006-2012| 2013-present
17406,Apolyom,Australia,Split-up,2001,1999-2001 (as Defcon)| 2001-?
17407,Apophenia,United States,Split-up,2006,2006-?
17408,Apoplexy,Norway,Changed name,1991,1991-1993| 1994-2000 (as Malignant Eternal)| 2000-2001 (as M-Eternal)
17409,Apoplexy,United States,Active,2002,2002-present
17410,Apoptose,France,Split-up,2001,2001-2003
17411,Apostasy,Malaysia,Split-up,1992,1992-?
17412,Apostasy,United States,Split-up,1992,1992-?
17413,Apostate,Ukraine,Active,1993,1993-1996| 1996 (as Black Moon Frankness)| 1996-1998| 1999-2001| 2009-present
17414,Apostle of Perversion,United States,Split-up,1998,1998-?
17415,Apoteron,Greece,Split-up,N/A,N/A
17416,Apothecary,United States,Active,2012,2012-present
17417,Apothecy,Slovakia,Active,2008,2004-2008 (as Fallen Pieces)| 2008-present
17418,Apotheosis,United States,Split-up,1997,1997-?
17419,Appalling,United States,Active,2015,2015-present| 2015-present
17420,Apparitions of the End,United Kingdom,Active,2006,2006-present
17421,Appendix,Germany,Split-up,N/A,N/A
17422,Appitne,Ireland,Active,2000,2000-present
17423,Approaching Extinction,Austria,Split-up,2008,2008-?
17424,Apriori,Turkey,Unknown,2004,2004-?
17425,Aproctous,United States,Split-up,1991,1991-?
17426,Aptrgangr,United States,Active,2010,2010-present
17427,Apus,Brazil,Active,N/A,1999-? (as Magaref)| ?-present
17428,Aquarian,Canada,Split-up,2004,2004-?
17429,Aqueronte,Brazil,Split-up,2001,2001-?
17430,Arachnaphilia,United States,Split-up,2004,2004-2008
17431,Arachos,Poland,Split-up,2001,2001-?| 2007-?
17432,Arachula,Portugal,Unknown,N/A,N/A
17433,Aracranios,Brazil,Split-up,1998,1998-?
17434,Arakacian,United Kingdom,Split-up,2003,2003-?
17435,Arallu,Israel,Active,1998,1998-present
17436,Aralyon,Czech Republic,Split-up,N/A,N/A
17437,Arasaw,Finland,Active,2007,2004-2007 (as Scavenger)| 2007-present
17438,Arawn,Czech Republic,Split-up,2004,2004-?
17439,Arbitrary,United States,Active,2011,2011-present
17440,Arbitrator,Australia,Split-up,1998,1998-?
17441,Arbor Ira,Germany,Active,1997,1997-present
17442,Arcanar,Russia,On hold,2004,2004-2011
17443,Arcane,Turkey,Split-up,2004,2004-2009
17444,Arcane Sun,Ireland,Split-up,1996,1996-2000
17445,Arcanjo,Brazil,Active,1994,1994-2004| 2004-present (as Arcanjjo)
17446,Arcease,Lebanon,Unknown,2004,2004-?
17447,Arceye,United Kingdom,Active,2004,2004-present
17448,Arch Heretic,United States,Active,2005,2005-present
17449,Arch Toll,United Kingdom,Active,N/A,N/A
17450,Archael,United States,Active,2005,2005-present
17451,Archaic Mass,United States,Active,1988,1988-present
17452,Archaic Mortuary,United States,Active,2012,2008-2012 (as Phantasm)| 2012-present
17453,Archaic Plague,United States,Active,N/A,N/A
17454,Archaic Torse,Germany,Split-up,1992,1992-?
17455,Archaic Winter,United States,Active,2006,2006-present
17456,Archelon,Canada,Active,2012,2012-present
17457,Archemoron,Greece,Active,2008,1999-2008 (as Ancestor)| 2008-present
17458,Archenemy,United States,Split-up,1984,1984-1986
17459,Archer,United Kingdom,Split-up,2002,2002-?
17460,Archgoat,Finland,Active,1989,1989-1993| 2004-present
17461,Architeuthis Dux,Argentina,Active,2007,2007-present
17462,Ardour,United Kingdom,Split-up,2006,? (as The Merciless Dead)| 2006-?
17463,Ares,United States,Active,2005,2005-present
17464,Ares Kingdom,United States,Active,1996,1996-present
17465,Argent Void,Finland,Active,2010,2010-present
17466,Argonist,Malaysia,Active,2001,2001-present
17467,Arimane,Canada,Split-up,2013,2013-2015
17468,Arische Freiheit,Greece,Split-up,1997,1997
17469,Arise,Sweden,Unknown,1996,1996-?
17470,Arise and Ruin,Canada,Split-up,2004,2004-2010
17471,Arise the Titan,United States,Active,2009,2009-present
17472,Arkadius,Ecuador,Active,2008,2008-present
17473,Arkaik Excruciation,Spain,Active,2014,2010-2014 (as Kill As One)| 2014-present
17474,Arkanger,Brazil,Active,2007,2007-present
17475,Arkhan,Switzerland,Split-up,2001,2001-2014
17476,Arkhedom,Chile,Active,2013,2013-present
17477,Arkhem,United States,Active,N/A,N/A
17478,Arkhon,Cyprus,Split-up,2002,2002-?
17479,Arkhon Infaustus,France,Split-up,1997,1997-2009
17480,Arkos,Canada,Active,2014,2014-present
17481,Arma,Finland,Split-up,2007,2006-2007 (as Bloodpath)| 2007-?
17482,Arma Christi,Poland,Active,2012,2012-present
17483,Armagbuwar,Brazil,Unknown,N/A,N/A
17484,Armageddon,Bosnia and Herzegovina,Split-up,1987,1987-1990
17485,Armageddon,Poland,Changed name,1999,1999-2000| 2000-? (as Angels of Armageddon)
17486,Armageddon,United States,Split-up,N/A,N/A
17487,Armagenda,Germany,Active,2011,2011-present
17488,Armaros,United States,Split-up,2005,2005-2011
17489,Armed Death,Greece,Active,1992,1989-1992 (as Army of Death)| 1992-present
17490,Arms of the Abyss,Australia,Active,N/A,N/A
17491,Army of Agony,Brazil,Active,2006,2006-present
17492,Army of Darkness,United States,Active,2001,2001-present
17493,Army of Death,Greece,Changed name,1989,1989-1992| 1992-present (as Armed Death)
17494,Army of Helvete,Italy,Active,2007,2007-present| 2007-present
17495,Army of Lignoza,Poland,Split-up,1993,1993-?
17496,Around the Fire,Greece,Split-up,1996,1996-?
17497,Arranged Chaos,Germany,Active,2007,2007-present
17498,Arreat Summit,Sweden,Active,2012,2012-present
17499,Arrival,Russia,Changed name,2005,2002-2005 (as Pekbnem)| 2005-2008| 2008-present (as Brujo)
17500,Arroganz,Germany,Active,2008,2008-present
17501,Ars Praesagus,Finland,Unknown,2007,2007-2009| 2009-2012 (as Ars)
17502,Ars Tenebrae,Brazil,Active,2003,2003-present
17503,Arsenic,France,Split-up,N/A,N/A
17504,Arsenic,Switzerland,Active,2002,2002-present
17505,Arsenic,United States,Split-up,1984,1984-?
17506,Arsenik,United States,Changed name,2005,2005-2007| 2007-2009 (as Satriarch)| 2012-present (as Satriarch)
17507,Arsenikal,Chile,Active,2009,2009-present
17508,Arson,Spain,Active,2012,2012-present
17509,Art of Destruction,United States,Active,1992,1992-present
17510,Art of Difference,Australia,Active,2011,2011-present
17511,Art of Murder,Sweden,Active,2004,2004-present
17512,Artefix Fraudis,Italy,Active,1999,1999-present
17513,Arterial Hemorrhage,Australia,Active,2005,2005-present
17514,Artery,France,Active,2005,2005-present
17515,Arthanus,Brazil,Active,2010,2010-present
17516,Articulo Mortis,United Kingdom,Active,2003,2003-present
17517,Artificial Peace,Greece,Split-up,1990,1990-1993
17518,Artilharia,Brazil,Split-up,2006,2006 (as HellHunter)| 2006-?
17519,Artillery Hell,United States,Split-up,2003,2003-?
17520,Artisian,United Kingdom,Split-up,2004,2004-?
17521,Artkifice,Chile,Active,2010,2010-present
17522,ArtWar,Mexico,Active,1999,1999-present
17523,Arum,Brazil,Active,2000,1989-1994 (as Gruunks)| 1998-2000 (as Gruunks)| 2000-present
17524,Aruspex,United States,Active,2000,2000-2003| 2006| 2007-present
17525,Arvest,Russia,Active,2004,2004-present
17526,Arwah,Indonesia,Unknown,N/A,N/A
17527,As a River,Canada,Split-up,2002,2002-2005
17528,As Autumn Calls,Canada,Active,2005,2005-present
17529,As Autumn Dies...,Switzerland,Active,2001,1997-2001 (as Regicide)| 2001-present
17530,As Fate Burns,United States,Active,1993,1993-present
17531,As Hollow,United States,Split-up,2003,2003-?
17532,As I Suffer Silently,Greece,Active,2007,2007-present
17533,As Serenity Fades,Finland,Split-up,1992,1992-?
17534,As Sick as Us,United States,Split-up,2008,2008-2012
17535,As the Kingdom Falls,United States,Active,2006,2006-present
17536,As the Sea Parts,United States,Unknown,1995,1995-?
17537,As the Sky Bleeds,United States,Unknown,2001,?-? (as Awakening to the World)| 2001-?
17538,As We Destroy,United States,Split-up,2001,2001-?
17539,As Winter Burns White,United Kingdom,Split-up,2008,2008-2010
17540,As You Drown,Sweden,Active,2008,2001-2003 (as Eternal Chaos)| 2003-2008 (as Ethereal)| 2008-present
17541,As4del,Ukraine,Split-up,1999,1999-2002| 2006-2007
17542,Asa Foetida,France,Split-up,N/A,N/A
17543,Asaroth,Mexico,Active,2006,2006-present
17544,Asbeel,Chile,Active,1993,1993-present
17545,Asbest,Netherlands,Split-up,2003,2003-2006
17546,Ascaria,Poland,Split-up,N/A,N/A
17547,Ascaris,France,Active,2003,2003-present
17548,Ascend-ency,Belgium,Active,2001,2001-present
17549,Ascendant,Denmark,Active,2006,2006-present
17550,Ascoculto,Chile,Active,2003,1992-2003 (as Reacción Frenetika)| 2004-present
17551,Ascron,Germany,Active,2007,2007-present
17552,Asedio,Mexico,Active,2007,2007-present
17553,Aseidad,Chile,Active,1996,1996-?| 2015-present
17554,Asesinato,Chile,Active,2007,2007-present
17555,Asesino,United States,Active,2001,2001-present
17556,Asfixia,Ecuador,Active,2004,2004-present
17557,Asgard,Brazil,Split-up,1992,1992-?
17558,Asgard,Canada,Active,1997,1997-present
17559,Ashen,Taiwan,Active,2007,2007-present
17560,Ashen Divinity,Croatia,Active,2010,2010-present
17561,Ashen Wings,United States,Active,N/A,N/A
17562,Ashes,Sweden,Split-up,1996,1996-?
17563,Ashes of a Lifetime,Germany,Active,2005,2005-present
17564,Ashes of Babylon,United States,Split-up,2002,2002-2008| 2013-2014
17565,Ashes of Betrayal,Italy,Active,2006,2006-present
17566,Ashes of December,Australia,Active,2008,2008-2012
17567,Ashes of Mercy,United States,Active,N/A,N/A
17568,Ashes of Ruins,United States,Active,2012,2012-present
17569,Ashes of the Forgotten,United States,Split-up,2010,2010-2016
17570,Ashes Reborn,Portugal,Active,2007,2007-present
17571,Ashtaroth,United States,On hold,N/A,N/A
17572,Ashtavakra,Germany,Active,2012,2012-present
17573,Ashtureth,United Kingdom,Split-up,N/A,N/A
17574,Asinesia,Argentina,Unknown,1990,1990-?
17575,Askesis,Italy,Active,2013,2013-present
17576,Askon,Germany,Active,2011,2011-present
17577,Asmoduros,United States,Active,N/A,N/A
17578,Asmodæo,Italy,Split-up,N/A,?-2003
17579,Aspectra,Norway,Active,2014,2014-present
17580,Aspergillosis,United States,Split-up,2004,2004-2008
17581,Asphalt,Sweden,Unknown,2001,2001-?
17582,Asphalt Graves,United States,Active,2015,2015-present
17583,Asphodelos,Germany,Active,2010,2008-2010 (as Hatred Within)| 2010-present
17584,Asphodelus,Finland,Active,2016,2012-2016 (as Cemetery Fog)| 2016-present
17585,Asphyx,Netherlands,Active,1987,1987-1994| 1995-1996| 1996-1999 (as Soulburn)| 2000| 2007-present
17586,Asphyxiate,New Zealand,Split-up,2004,2004-?
17587,Asphyxiation,United States,Active,2008,2008-present
17588,Ass Ache,Italy,Split-up,1989,1989-1993
17589,Ass Flavour,Brazil,Active,2002,2002-present
17590,Assassin,Korea| South,Split-up,1994,1994-?
17591,Assassin Empire,United States,Split-up,2002,2002-?| 2016-?
17592,Assault,Chile,Split-up,2002,2002-2006
17593,Assault,Sweden,Active,2007,? (as Arsch Havarie)| 2007-present
17594,Assault on the Living,United States,Active,2009,2009-present
17595,Assayer,United States,Active,2010,2010-present
17596,Assertion,Japan,Active,N/A,N/A
17597,Assertiveness,Poland,Split-up,N/A,N/A
17598,Assessor,Czech Republic,Split-up,1988,? (as 4HORSEMEN)| 1988-1990| 1991| 2005-2015
17599,Assfist,Germany,Active,2008,2008-present
17600,Asshole Sleeper,United States,Split-up,2009,2009-2011
17601,Assimilation,Canada,Active,2012,2011-2012 (as Ceaseless Discharge)| 2012-present
17602,Assorted Heap,Germany,Split-up,1987,1987-1992
17603,Assumption,Italy,Active,2011,2011-present
17604,Assumption of Might,Germany,Active,1999,1999-present
17605,Assück,United States,Split-up,1988,1988-1998
17606,Astafir,Malaysia,Active,2007,2007-present
17607,Astaroth,Colombia,Split-up,1985,1985-1987
17608,Astaroth,Finland,Split-up,1988,1988-2001
17609,Astaroth,United States,Changed name,1990,1990-1994
17610,Asterion,Chile,Active,2006,2006-present
17611,Asterion,United States,Active,N/A,N/A
17612,Asterium,Spain,Active,2009,2009-present
17613,Asthma,Latvia,Active,2009,2009-present
17614,Astoreth,Norway,Split-up,N/A,N/A
17615,Astraeus,United States,Active,2003,? (as Persephone's Cage)| 2003-present
17616,Astral Carneval,Sweden,Split-up,2002,2002-2010
17617,Astral Gate,Chile,Split-up,2005,2005-?
17618,Astral Menace,United States,Active,2012,2012-present
17619,Astral Queen,Poland,Active,2013,2013-present
17620,Astrarot,Greece,Active,2009,2009-present
17621,Astray,Finland,Active,1998,1998-present
17622,Astray,Sweden,Changed name,1989,1989-?| ?-2003 (as Mindcollapse)
17623,Astrum Mortis,Canada,Split-up,2007,2007-?
17624,Asura,India,Split-up,2005,2005-?
17625,Asylum,Germany,Split-up,2007,2007-2010
17626,Asylum,Italy,Changed name,2006,2006-2012| 2012-present (as Synodik)
17627,Asylum,Mexico,Split-up,2003,2003-?
17628,Asylum,Sweden,Unknown,2005,2005-?
17629,Asylum,United Kingdom,Split-up,N/A,N/A
17630,At Death's Behest,United States,Active,2009,2009-present
17631,At One with Chaos,United States,Active,2005,2005-present
17632,At Radogost's Gates,Serbia,Active,2002,2002-2003| 2003-present
17633,At the Crossroads,United States,Active,2004,2004-present
17634,At the Seams,United States,Active,2012,2012-present
17635,Ataque de Sonido,Colombia,Split-up,1990,1990-?
17636,Ataraxia,Colombia,Split-up,1991,1991-1996
17637,Ataud,United Kingdom,Active,2010,2010-present
17638,Ataul,Philippines,Active,2012,2012-present
17639,Atavisma,France,Active,2013,2013-present
17640,Atavus,Germany,Active,2012,2012-present
17641,Atem,Finland,Active,1999,1995-1999 (as Morgue)| 1999-present
17642,Ater,Finland,Split-up,1991,1991-?
17643,Aterlius,Mexico,Active,2009,2009-present
17644,Athanator,Colombia,Active,1989,1989-1995| 1999-present
17645,Athanatos,Chile,Active,2013,2013-present
17646,Athanor,Italy,Active,1998,1998-present
17647,Athenas Wake,Australia,Active,2010,2010-present
17648,Athrazina,Italy,Active,1994,1994-present| 2013-present
17649,Athrenody,United States,Split-up,1992,1992-?
17650,Atka,Germany,On hold,2005,2005-present
17651,Atlantean Dawn,Germany,Split-up,N/A,N/A
17652,Atlantida,Colombia,Active,2005,2005-present
17653,Atmosfear,Chile,Split-up,1997,1997-?
17654,Atmosfera Funebre,Bolivia,Active,1995,1995-present
17655,Atom,Greece,Active,2012,2012-present
17656,Atomic Opera,United States,Split-up,N/A,N/A
17657,Atomic Warbride,United States,Unknown,2007,2007-?
17658,Atomicide,Chile,Active,2003,2003-present
17659,Atonement,Canada,Split-up,2012,2008-2012 (as Down to Ruins)| 2012-?
17660,Atra Filia,Sweden,Split-up,2008,2008-?
17661,Atrahasis,France,Unknown,2006,2006-?
17662,Atrocia,France,Active,2003,2003-present
17663,Atrocious Devoured,France,Split-up,2000,2000-?
17664,Atrocity,United States,Split-up,1985,1985-?| 2006-2010
17665,Atrophia,Chile,On hold,1998,1998-2004
17666,Atrophia,United States,Split-up,2006,2006-?
17667,Atrophid,France,Split-up,2003,2003-?
17668,Atropin,Germany,Split-up,2004,2003-2004 (as Entropie)| 2004-?
17669,Atropos,United States,Split-up,2007,2007-?| ? (as Athropos)| ?-2008
17670,Atrosity,United States,Split-up,N/A,N/A
17671,Atrous Leviathan,Canada,Active,2010,2010-present
17672,Atroxentis,Belgium,Active,1997,1997-present
17673,Atrozer,Uruguay,Changed name,1994,1994-2006 (as Marca Acme)| 2006-2014| 2014-present (as Marca Acme)
17674,Atrum,Iceland,Active,2005,2005-present
17675,Attack,Colombia,Active,2009,2009-present
17676,Attack,Czech Republic,Split-up,1992,1992-1995
17677,Attack Imminent,United States,Changed name,2009,2009-2011| 2011-present (as Vesicant)
17678,Attack of Rage,Slovakia,Active,2001,2001-present
17679,Attack of the Mad Axeman,Germany,Active,2006,2006-present
17680,Attack Vertical,Switzerland,Active,1999,1999-present
17681,Attempt to Life,Germany,Split-up,N/A,N/A
17682,AtteroTerra,United States,Active,2009,2009-present
17683,Attma,Brazil,Active,2005,2005-present
17684,Audiorrea,Spain,Split-up,1991,1991-1994
17685,Augusta Gein,Canada,Split-up,2002,2002-?
17686,Aurora Borealis,United States,Active,1994,1994-present
17687,Auschwitz,Bolivia,Split-up,2002,2002-?
17688,Auschwitz,Slovenia,Changed name,1989,1989-?| ?-present (as In a Spleen)
17689,Autaric,Canada,Split-up,2007,2007-2014
17690,Autem Gnosis,Chile,Unknown,N/A,N/A
17691,Authority Crisis,Spain,Active,2007,2007-present
17692,Automatic Self Destruct,Germany,Active,2008,2008-present
17693,Autopse,Brazil,Active,2009,2009-present
17694,Autopsia,Germany,Split-up,N/A,N/A
17695,Autopsia Craneal,Chile,Unknown,2009,?-? (as Lavulka)| 2009-?
17696,Autopsium,Turkey,Active,N/A,N/A
17697,Autopsy Gothic,Pakistan,Split-up,1997,1997-2003
17698,Autumn,Hungary,Active,2000,2000-present
17699,Autumn,Turkey,Split-up,1994,1994-?
17700,Autumn Embrace,United States,Split-up,N/A,N/A
17701,Autumn Eternal,United States,Active,2004,2004-present
17702,Autumn Woods,Russia,Active,2006,2006-present
17703,Autumn's End,United States,Active,2002,2002-present
17704,Autumnal Reaper,Netherlands,On hold,1991,1991-1993 (as Raging Death)| 1993-present
17705,Autumnal Winds,United States,Changed name,1998,1998-2005| 2007-present (as Obsequiae)
17706,Avafrost,Finland,Split-up,2001,2001-2009
17707,Avarus,United Kingdom,Split-up,2007,2007-2011
17708,Avatar,Greece,Split-up,1995,1995-2005
17709,Avathar,Ecuador,Active,2000,2000-present
17710,Ave Tenebrae,France,Active,1998,1998-present
17711,Avengeance,Belgium,Split-up,2006,?-? (as Limited)| 2006-?
17712,Avenger,Czech Republic,Active,1992,1992-1993 (as Astaroth)| 1993-present
17713,Avenging Angels,Austria,Active,2000,2000-present
17714,Averno,Argentina,Active,1988,1988-present
17715,Averno,Colombia,Active,1989,1989-1996| 2014-present
17716,Avernus Infamis,Spain,Unknown,2002,2002-?
17717,Avoid,Denmark,Split-up,N/A,N/A
17718,Avrodic,Italy,Active,2001,2001-present
17719,Avulsion Rupture,United Kingdom,Active,2000,2000-2002| 2014-present
17720,Awoke,United Kingdom,Split-up,2005,2005-?
17721,Awoken,Ukraine,Active,2000,2000-2010| 2015-present
17722,Axeman,United States,Active,2008,2008-present
17723,Axen,Italy,Split-up,2009,? (as Anema)| 2009-2011
